X,Y,Incident_ID,Agency,Offense,Street,City,State,Zipcode,Date_of_Report,Date_of_Occurrence,Date_Found,Reported_As,Premise_Description,Forcible,Weapon_Description,Victim_Age,Victim_Race,Victim_Gender,Latitude,Longitude,ObjectId,
-8799940.332,4290378.697,74425,CHPD,LOUD MUSIC/PARTY,700 BOLINWOOD DR,CHAPEL HILL,NC,27514,2010/01/17 00:35:00+00,2010/01/17 00:34:00+00,2010/01/17 00:35:00+00,<Null>,HOME OF OFFENDER - OTHER DWELL,N,<Null>,<Null>,<Null>,<Null>,35.925526,-79.051209,975,
-8797815.689,4291312.288,74426,CHPD,LOUD MUSIC/PARTY,1521 E FRANKLIN ST,CHAPEL HILL,NC,27514,2010/01/17 01:37:00+00,2010/01/17 01:36:00+00,2010/01/17 01:37:00+00,<Null>,HOME OF OFFENDER - OTHER DWELL,N,<Null>,<Null>,<Null>,<Null>,35.932317,-79.032123,981,
-8795720.322,4292462.923,74387,CHPD,LOUD MUSIC/PARTY,190 FORSYTHIA CT,CHAPEL HILL,NC,27514,2010/01/14 22:50:00+00,2009/12/27 00:35:00+00,2009/12/27 00:35:00+00,<Null>,HOME OF OFFENDER - OTHER DWELL,N,<Null>,<Null>,<Null>,<Null>,35.940686,-79.0133,982,
-8800942.542,4288646.592,76078,CHPD,LOUD MUSIC/PARTY,316 WEST ROSEMARY ST,CHAPEL HILL,NC,27514,2010/04/10 01:23:00+00,2010/04/10 01:15:00+00,2010/04/10 01:23:00+00,<Null>,HOME OF OFFENDER - OTHER DWELL,N,<Null>,<Null>,<Null>,<Null>,35.912925,-79.060212,1008,
-8800372.92,4289537.559,76054,CHPD,LOUD MUSIC/PARTY,425 HILLSBOROUGH ST,CHAPEL HILL,NC,27514,2010/04/10 01:53:00+00,2010/04/10 01:52:00+00,2010/04/10 01:53:00+00,<Null>,HOME OF OFFENDER - OTHER DWELL,N,<Null>,<Null>,<Null>,<Null>,35.919407,-79.055095,1010,
-8801046.737,4289644.776,75752,CHPD,LOUD MUSIC/PARTY,800 PRITCHARD AVE,CHAPEL HILL,NC,27516,2010/03/25 21:31:00+00,2010/03/25 21:30:00+00,2010/03/25 21:31:00+00,<Null>,HOME OF VICTIM - SINGLE FAMILY,N,<Null>,<Null>,<Null>,<Null>,35.920187,-79.061148,1154,
-8798374.29,4289357.078,76081,CHPD,LOUD MUSIC/PARTY/OTHER NOISE,19 DAVIE CIR,CHAPEL HILL,NC,27514,2010/04/10 23:09:00+00,2010/04/10 23:08:00+00,2010/04/10 23:09:00+00,<Null>,HOME OF OFFENDER - OTHER DWELL,<Null>,<Null>,<Null>,<Null>,<Null>,35.918094,-79.037141,1220,
-8801036.718,4289603.401,75626,CHPD,LOUD MUSIC/PARTY,717 PRITCHARD AVE EXT,CHAPEL HILL,NC,27516,2010/03/19 23:18:00+00,2010/03/19 23:17:00+00,2010/03/19 23:18:00+00,<Null>,HOME OF OFFENDER - SINGLE FAMI,N,<Null>,<Null>,<Null>,<Null>,35.919886,-79.061058,1254,
-8801094.604,4293380.33,75782,CHPD,LOUD MUSIC/PARTY,1433 LEGACY TER DR,CHAPEL HILL,NC,27516,2010/03/27 05:02:00+00,2010/03/27 05:02:00+00,2010/03/27 05:02:00+00,<Null>,HOME OF OFFENDER - SINGLE FAMI,N,<Null>,<Null>,<Null>,<Null>,35.947358,-79.061578,1270,
-8796574.588,4291570.617,75748,CHPD,LOUD MUSIC/PARTY,1250 EPHESUS CHURCH RD,CHAPEL HILL,NC,27517,2010/03/26 00:28:00+00,2010/03/26 00:27:00+00,2010/03/26 00:28:00+00,<Null>,OTHER RESIDENCE - SINGLE FAMILY DWELLING,N,<Null>,<Null>,<Null>,<Null>,35.934196,-79.020974,1273,
-8801391.493,4287582.805,75610,CHPD,LOUD MUSIC/PARTY,517 S MERRITT MILL RD,CHAPEL HILL,NC,27516,2010/03/20 00:27:00+00,2010/03/20 00:26:00+00,2010/03/20 00:27:00+00,<Null>,HOME OF OFFENDER - OTHER DWELL,N,<Null>,<Null>,<Null>,<Null>,35.905185,-79.064245,1288,
