X,Y,Incident_ID,Agency,Offense,Street,City,State,Zipcode,Date_of_Report,Date_of_Occurrence,Date_Found,Reported_As,Premise_Description,Forcible,Weapon_Description,Victim_Age,Victim_Race,Victim_Gender,Latitude,Longitude,ObjectId
-8800929.963,4288452.381,85703,CHPD,OPEN CONTAINER,310 W FRANKLIN ST,CHAPEL HILL,NC,27516,2011/08/13 22:00:00+00,2011/08/13 21:59:00+00,2011/08/13 22:00:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.911512,-79.060099,11050
-8800148.834,4288825.686,85808,CHPD,OPEN CONTAINER VIOLATION,175 E FRANKLIN ST,CHAPEL HILL,NC,27514,2011/08/18 19:59:00+00,2011/08/18 19:53:00+00,2011/08/18 19:53:00+00,<Null>,BEHIND BUILDING/ALLEY,N,<Null>,<Null>,<Null>,<Null>,35.914228,-79.053082,11103
-8800340.971,4288726.036,86173,CHPD,OPEN CONTAINER OF UNFORTIFIED WINE,128 E FRANKLIN ST,CHAPEL HILL,NC,27514,2011/09/03 16:02:00+00,2011/09/03 16:01:00+00,2011/09/03 16:02:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.913503,-79.054808,11310
-8800270.061,4288768.095,85405,CHPD,OPEN CONTAINER OF MALT BEVERAGE,147 E FRANKLIN ST,CHAPEL HILL,NC,27514,2011/07/30 18:59:00+00,2011/07/30 18:58:00+00,2011/07/30 18:59:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.913809,-79.054171,11435
-8800131.468,4288833.933,86822,CHPD,OPEN CONTAINER,179 E FRANKLIN ST,CHAPEL HILL,NC,27514,2011/10/04 01:14:00+00,2011/10/04 00:18:00+00,2011/10/04 00:18:00+00,<Null>,GOVERNMENT/PUBLIC BUILDING,N,<Null>,<Null>,<Null>,<Null>,35.914288,-79.052926,12104
-8799988.2,4290063.074,87170,CHPD,OPEN CONTAINER,HILLSBOROUGH ST @ BOLINWOOD CIR,CHAPEL HILL,NC,27514,2011/10/15 18:30:00+00,2011/10/15 18:29:00+00,2011/10/15 18:30:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.92323,-79.051639,12229
-8797824.038,4291289.603,86696,CHPD,OPEN CONTAINER,1520 E FRANKLIN ST,CHAPEL HILL,NC,27514,2011/09/26 22:45:00+00,2011/09/26 22:44:00+00,2011/09/26 22:45:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.932152,-79.032198,12435
-8801019.464,4288556.289,86932,CHPD,OPEN CONTAINER OF MALT BEVERAGE,325 W ROSEMARY ST,CHAPEL HILL,NC,27516,2011/10/08 19:21:00+00,2011/10/08 17:17:00+00,2011/10/08 17:18:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.912268,-79.060903,12475
-8800903.803,4288465.301,86438,CHPD,OPEN CONTAINER,306 W FRANKLIN ST,CHAPEL HILL,NC,27516,2011/09/15 09:10:00+00,2011/09/15 09:10:00+00,2011/09/15 09:10:00+00,<Null>,BEHIND BUILDING/ALLEY,<Null>,<Null>,<Null>,<Null>,<Null>,35.911606,-79.059864,12504
-8801190.45,4288479.595,86670,CHPD,OPEN CONTAINER,WEST ROSEMARY @ MITCHELL LN,CHAPEL HILL,NC,27516,2011/09/25 16:55:00+00,2011/09/25 16:55:00+00,2011/09/25 16:55:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,<Null>,<Null>,<Null>,<Null>,<Null>,35.91171,-79.062439,12557
